date,a2c,ppo,tdr,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,1000773.363750084,1000163.3675528927,1002001.35309906,1004025.7406920807
2023-01-05,999537.1602491264,999815.2434648618,1001183.4397216797,993774.424840718
2023-01-06,1002704.6273677748,1000712.8961241397,1007210.8478492737,1014915.2808511135
2023-01-09,1005771.1026300505,1001531.5502114638,1008381.5824943541,1011506.309567553
2023-01-10,1006760.2333107451,1001762.278178108,1009340.5253143309,1017133.1515796877
2023-01-11,1013537.4660247839,1003549.252826249,1014729.9268241881,1025248.4082409919
2023-01-12,1015180.6507780072,1003639.7454487933,1024312.3167564392,1031795.8068875177
2023-01-13,1018136.6986897656,1004270.7394313486,1024118.8680747985,1035195.1116780549
2023-01-17,1024436.0904590909,1006338.8849059904,1029833.2587165833,1023372.5191741372
2023-01-18,1018664.674977119,1005274.5397759303,1021144.9382751465,1004846.3316425222
2023-01-19,1013163.4949588542,1004462.8316291218,1020284.5951927186,997229.2530241093
2023-01-20,1027566.6889875407,1008305.4513561459,1039457.0044548034,1007216.1549260626
2023-01-23,1046362.7357370142,1013335.2922595445,1069025.8028800965,1014883.570038634
2023-01-24,1046698.8742624811,1013882.101453167,1074172.021736145,1018034.2573439707
2023-01-25,1048918.4446594613,1013891.3118853321,1075576.1683839418,1018332.3861349012
2023-01-26,1080200.4329076838,1021690.8589639511,1113211.7074159242,1024536.1527428498
2023-01-27,1117621.4952584452,1030892.4311979619,1146591.187167511,1025401.303868448
2023-01-30,1088846.6399644082,1023346.2048388806,1113822.3329042054,1017525.1160833823
2023-01-31,1109040.4054623484,1028095.2023499204,1134238.5308106996,1028659.3835535938
2023-02-01,1133166.6366229167,1033803.2936148397,1158022.1283143617,1028868.2741101491
2023-02-02,1168937.5116634364,1044553.6678433152,1226812.0951112367,1027690.7302222081
2023-02-03,1155243.2107042994,1044868.9176347809,1222898.5196717835,1023830.0272158931
2023-02-06,1161523.8281726679,1044392.8321727371,1225462.4860871888,1022774.0217951124
2023-02-07,1174662.8483156504,1048588.6528203906,1254504.6246217347,1030791.5525696309
2023-02-08,1176601.5017142405,1047591.8149830608,1243683.2049592591,1024524.1285686011
2023-02-09,1184353.8770149606,1049351.646174509,1238920.4749940492,1017005.7189094638
2023-02-10,1154311.5503062129,1042591.9140356847,1216147.310214386,1022117.6433420085
2023-02-13,1161085.7899058566,1045384.2850551206,1227874.5159028627,1033484.6139491503
2023-02-14,1199076.2966575446,1054895.5782321969,1252884.3547700502,1028756.873672257
2023-02-15,1215913.0054066519,1061516.9276964073,1260693.2687409974,1029927.2266324615
2023-02-16,1172822.0052145724,1048926.0428212872,1220930.3213380433,1016914.3587619863
2023-02-17,1181607.5599714103,1051288.018786442,1227747.1188386537,1020832.7070742578
2023-02-21,1142452.6312188583,1035876.0238417761,1191455.5546601869,999795.35326965
2023-02-22,1151212.5975340933,1039914.2310601694,1195605.6562379457,997245.2852564409
2023-02-23,1163224.1844520087,1042894.8541977007,1202860.5914338685,1000529.2994350643
2023-02-24,1143747.7740881208,1033158.5767051108,1172881.7043336488,990359.5593540943
2023-02-27,1165599.2271801315,1044332.0192135184,1192861.1922486878,992537.4673859009
2023-02-28,1169256.453829263,1042037.9283027614,1197660.5563233949,985524.3088133307
2023-03-01,1152978.117274816,1034521.0609464038,1190752.0486940003,985679.4442379508
2023-03-02,1135923.0309291433,1024830.3824057392,1183688.730502472,995992.2955692922
2023-03-03,1175104.535546411,1041855.1278187165,1227335.3053620912,1007683.3294608418
2023-03-06,1167172.559512174,1041644.5257452417,1219569.230426178,1008904.7262195725
2023-03-07,1147752.6093484932,1031514.3043415399,1198871.5589631654,991552.7818221834
2023-03-08,1144162.0127759357,1028720.7733150868,1192084.6808198548,989800.5531355923
2023-03-09,1106938.2779754042,1013540.0492692628,1157570.378863678,973397.4575472971
2023-03-10,1104774.9372642913,1008806.0976725183,1151106.5036805726,962979.3357492493
2023-03-13,1108592.2782327284,1014939.3705038896,1156505.3429597474,960248.1978179425
2023-03-14,1149309.5414367574,1031328.3743998741,1198739.0569337464,970395.952521487
2023-03-15,1139988.7626769175,1030129.0561525311,1187573.8542512513,961920.9726472434
2023-03-16,1172650.1717581935,1044121.240787457,1216431.006549225,973146.7181489939
2023-03-17,1143825.2871465238,1036879.186986441,1190802.0355104066,961541.0323177975
2023-03-20,1151432.8807090467,1044556.2468455795,1208747.0737031556,973087.2456400874
2023-03-21,1183892.9183708967,1068771.457637854,1242540.4116548158,982624.1840802055
2023-03-22,1162452.6776011214,1056111.1178369813,1213090.4984162904,966614.8801985545
2023-03-23,1169380.250604074,1060370.6642408585,1226647.230426178,968882.498000981
2023-03-24,1163834.7786102768,1060098.223574942,1225329.5208161927,972874.4649095105
2023-03-27,1169012.4743482603,1057209.1276707062,1226423.1891511537,978745.6805806402
2023-03-28,1164332.731543899,1051376.214818314,1223405.2427095033,977604.0323893531
2023-03-29,1183527.0038543735,1068467.1231418194,1248859.7959169007,987362.1802704284
2023-03-30,1192209.3635843024,1076255.2008289627,1262925.31029068,991630.3495344935
2023-03-31,1209290.7437498374,1101108.3610037065,1295665.1846955873,1004157.888724755
2023-04-03,1209584.7232631869,1085337.025628651,1283690.899051056,1014026.1992610791
2023-04-04,1207689.265333467,1082035.382628939,1279763.247073517,1008027.6688037869
2023-04-05,1194051.7362698799,1063320.3588764633,1256775.5535920716,1010452.1902917525
2023-04-06,1202379.1028476844,1066126.0060646348,1266227.0191835023,1010529.7580040625
2023-04-10,1200377.4445626503,1059001.465402617,1260118.0985292054,1013584.7234516549
2023-04-11,1193491.5451980967,1056323.415441338,1262093.373584137,1016550.3327808108
2023-04-12,1186063.1889678836,1041641.8354498333,1248468.739627228,1015394.8332123252
2023-04-13,1213346.0458079963,1070367.0701226639,1279420.2311586,1026958.9059698965
2023-04-14,1249612.5303708261,1068335.458943459,1261315.57931839,1022636.6868637429
2023-04-17,1251773.6315623736,1072212.6655471157,1265697.4910768128,1025675.9737311874
2023-04-18,1257795.067147598,1071293.2157754444,1267445.1947358705,1025357.5688817201
2023-04-19,1261957.7071876158,1071115.7065212883,1257574.606814728,1022954.8559450876
2023-04-20,1253932.1696972747,1036868.1310956292,1222854.0385621644,1019623.4523738372
2023-04-21,1259055.3396660076,1039656.9770387883,1222688.8696321107,1020297.6313201919
2023-04-24,1257929.6627481075,1035108.8407669759,1220198.454608307,1022302.6034341279
2023-04-25,1228662.4100153614,1021450.2800399957,1200011.2463868714,1011904.0503902492
2023-04-26,1229159.7760234848,1012896.0915963177,1191559.055514679,1004994.5119075279
2023-04-27,1285577.25150691,1045862.1335998692,1260099.979709015,1020816.6748419263
2023-04-28,1282506.7750817505,1052083.396162785,1275360.225146637,1029025.1777956883
2023-05-01,1288699.0569395442,1043710.06937258,1271295.182910309,1027623.0647710438
2023-05-02,1278206.051634895,1038866.534926146,1258522.744098053,1016542.5524327676
2023-05-03,1263352.2416792312,1035457.5985263466,1251289.3701051332,1008385.5648137768
2023-05-04,1251412.2435185045,1031441.9303885521,1234351.1068452455,999739.476224612
2023-05-05,1275634.1984810883,1077440.3776198449,1263485.2194093324,1016236.1717575488
2023-05-08,1278259.1944027534,1081248.5560217919,1268692.1155732728,1014555.6165802046
2023-05-09,1275171.8382201076,1070977.370043856,1267829.302111969,1012838.9888801144
2023-05-10,1287110.0687751574,1081073.3586188378,1266022.01190506,1011919.1395500909
2023-05-11,1293182.41455269,1090896.7860671105,1264460.4029725648,1005225.0931313556
2023-05-12,1277224.95131064,1076980.111250979,1252001.8710054017,1004956.7890079243
2023-05-15,1288466.7085684675,1074210.7050925316,1260534.7378419496,1006404.7589323994
2023-05-16,1290702.412805925,1077946.9428359093,1255392.1437409974,996250.9331997
2023-05-17,1317893.7238168349,1098142.5565558495,1283686.1432984925,1008582.6669642059
2023-05-18,1336812.2718623804,1117099.287322146,1299934.8880799867,1012057.4175539506
2023-05-19,1329449.6483843818,1120599.437018496,1297274.4475587464,1008759.4930560983
2023-05-22,1321073.623297481,1132506.645182711,1314294.3452180482,1004532.9958076891
2023-05-23,1309536.7290953174,1117252.3288565697,1296145.0357545472,997559.7999318866
2023-05-24,1309545.1183572325,1114904.7861891808,1290182.6318086244,989846.5279194842
2023-05-25,1316343.434406362,1127633.6486769738,1300238.5813783265,988782.0937883233
2023-05-26,1343697.4645187927,1160668.1157942833,1334696.8248017884,998701.3891811431
2023-05-30,1354031.8876841331,1185529.4754973473,1350804.4756806947,997175.6157762352
2023-05-31,1340892.4791000267,1186634.252833468,1359785.5737947084,993116.278126695
2023-06-01,1363117.6616688475,1208057.6014510216,1384938.9598268128,997742.6381109032
2023-06-02,1382711.286531053,1224914.121935946,1406415.1919740296,1018903.4165276518
2023-06-05,1376300.9291827788,1228766.1404677453,1402127.8836091615,1012870.6996925938
2023-06-06,1380185.7606898933,1235894.0641509118,1406328.4232972718,1013185.2143680395
2023-06-07,1368850.0250980125,1228607.6200514855,1405082.1294892884,1015953.7215467662
2023-06-08,1382686.5771982474,1262750.9763365807,1434457.1416200257,1021041.479746752
2023-06-09,1382667.292147428,1281548.9175215783,1447885.1026948548,1022344.3343918144
2023-06-12,1396354.4040152335,1306488.712397677,1476726.3942140199,1028064.5405804683
2023-06-13,1402351.3275587591,1323875.9051848473,1489143.2024720765,1032464.3273989318
2023-06-14,1401518.729282026,1324158.472842318,1483312.603991852,1025439.0267680518
2023-06-15,1414650.0742472587,1329983.696215731,1501695.4330018617,1038377.3919118096
2023-06-16,1409397.6665905663,1333011.5135527672,1504410.9001496888,1035089.8412113483
2023-06-20,1407359.632674669,1361595.6615172448,1517463.9971803285,1027688.6083091053
2023-06-21,1401473.2110347839,1327073.7209349694,1487523.5614808656,1024599.8101359308
2023-06-22,1406426.3662336213,1354428.168482882,1495024.1696809388,1024454.6948565181
2023-06-23,1399317.0291966223,1335831.3214598717,1487473.639071808,1017837.1551935414
2023-06-26,1392383.075001737,1296659.3995238366,1447980.826938019,1017453.3246900738
2023-06-27,1402669.172694486,1327445.6308089318,1484290.6549562074,1023851.9536512878
2023-06-28,1400451.7694238753,1341924.7943068566,1493837.8650697328,1021616.4003135244
2023-06-29,1423036.458831243,1343522.5487700524,1492314.8251527406,1029757.3557001835
2023-06-30,1448085.918876802,1371175.8057204308,1512453.53924881,1038363.599476642
2023-07-03,1451552.936941938,1400856.5749922814,1537405.1944612123,1038691.5529350715
2023-07-05,1445015.0980209748,1402417.8298903527,1554620.1412690736,1034773.5582749838
2023-07-06,1432587.9855470597,1389566.6843062462,1540363.2860139466,1023716.8585170822
2023-07-07,1440892.3090678994,1384157.6773863854,1532583.5437806703,1018061.9600983672
2023-07-10,1434610.551793859,1363968.0535231652,1528734.8939546205,1024384.9074922511
2023-07-11,1450431.227405355,1365154.635668856,1544130.879153595,1033952.1421361133
2023-07-12,1463277.6360110298,1379454.830340487,1564888.0540345765,1036547.7133969696
2023-07-13,1478951.4259505745,1400614.1244841637,1580983.9089997865,1037987.5493212176
2023-07-14,1484710.4716992087,1407831.8962203087,1571781.8294862367,1041424.5770113583
2023-07-17,1506646.4719092422,1435421.7826186242,1586358.0082582093,1043727.795800286
2023-07-18,1506318.5718583197,1440691.6120635094,1592706.393481598,1054790.507645312
2023-07-19,1518200.1810539146,1444128.177783114,1594787.6045106507,1058088.432143164
2023-07-20,1509926.0546227165,1373718.3598662438,1535224.065356598,1063036.7334986774
2023-07-21,1501136.4390550284,1362964.9780531945,1515780.0051301576,1063112.5329500686
2023-07-24,1515647.9164101882,1381680.0806380333,1531381.1725038148,1068651.669220625
2023-07-25,1512072.67490241,1378999.9928618493,1527352.019854889,1069461.4148374302
2023-07-26,1515772.5029436394,1378159.0074339928,1559772.946658478,1071937.5695442283
2023-07-27,1504886.9395864538,1357838.6056395592,1565258.9214509584,1064773.1657210598
2023-07-28,1524728.0977932487,1393614.420802218,1613526.7521546937,1070101.761058203
2023-07-31,1535266.4229436584,1399512.758967501,1609762.8963349916,1073126.9018382959
2023-08-01,1524336.6078554587,1381528.3066435875,1604213.2186769105,1075274.042130113
2023-08-02,1499736.8238354088,1350764.7803298058,1563871.3967927552,1064767.1536339354
2023-08-03,1504619.5454435516,1357426.5313139975,1566879.4373506166,1062756.4052009976
2023-08-04,1517047.6180347532,1332134.5667601647,1543448.6886628724,1058221.5232483284
2023-08-07,1523512.1941496443,1321836.4421797814,1554579.5257752992,1070519.4242872524
2023-08-08,1513849.6859776054,1317461.6553603234,1548981.0893891908,1065731.9167912996
2023-08-09,1493615.8720325332,1292458.103953463,1523236.6618684388,1059963.9675578347
2023-08-10,1493862.5966066185,1298628.626017672,1535089.5550569154,1061557.0527617228
2023-08-11,1497768.607197267,1291719.574694735,1517562.6099275209,1064733.3209083534
2023-08-14,1508923.202445825,1297857.8170882287,1523420.1836579896,1065524.9123797244
2023-08-15,1476796.7424223914,1274326.040797335,1495382.2531007386,1054623.3480464432
2023-08-16,1464873.9337586379,1253150.61671744,1467448.242083893,1049171.5638652816
2023-08-17,1449446.3279667145,1230739.9152022423,1432399.8803742982,1040392.3841709526
2023-08-18,1450018.7353152023,1224040.7040740075,1427750.9966920472,1041171.951468075
2023-08-21,1460029.540427324,1264993.931941134,1463914.5126527406,1040056.2967122962
2023-08-22,1443826.2730505958,1271192.0433608117,1469139.349505768,1034779.2167099242
2023-08-23,1459147.8058263487,1294394.141429049,1487920.3028596498,1040336.625009976
2023-08-24,1441181.084721334,1260571.8772460045,1439373.5653718568,1029063.2543474758
2023-08-25,1447112.274668409,1285091.6298247399,1463236.6807588197,1036531.6811646379
2023-08-28,1452298.8757279639,1291426.571505648,1479125.292498932,1042962.1388223924
2023-08-29,1470297.0880739037,1344272.6619368615,1524259.634433136,1051795.0736486567
2023-08-30,1473152.839933313,1355998.039652926,1526496.983401642,1052928.7646658088
2023-08-31,1471416.1962981087,1363168.714350802,1522148.2724336244,1047848.9046979273
2023-09-01,1476600.5283611007,1342454.3525801722,1501693.4368623353,1051343.577694025
2023-09-05,1465932.2531801085,1364290.3675337853,1523067.6506837464,1045436.4073842104
2023-09-06,1448444.230063043,1329058.5822096884,1498559.129443512,1039437.6411587956
2023-09-07,1439698.7481523375,1313305.9510222496,1486498.4744599916,1041174.0733811778
2023-09-08,1442074.5409696135,1309472.4116240563,1476457.0179627992,1043463.3818508765
2023-09-11,1460183.0095398498,1368028.854823214,1531115.571795807,1046092.7858373146
2023-09-12,1460527.0272663168,1343228.3064299645,1510064.9747041322,1045557.7100832484
2023-09-13,1467446.1210297828,1349591.965785128,1514531.3642457582,1043431.4352702745
2023-09-14,1484957.3943782898,1363682.4699965538,1536034.8620637513,1053437.9059263973
2023-09-15,1469416.63839504,1350048.7195311608,1515775.9024079896,1044720.2617120468
2023-09-18,1474668.8631792197,1341643.1288939537,1504577.3271821595,1044903.2177751245
2023-09-19,1469000.1768087363,1343796.2653761925,1506410.3067048646,1041687.1048157879
2023-09-20,1453406.2940425545,1319754.912142855,1485449.6699861146,1039367.8537945288
2023-09-21,1428503.456953176,1291722.8179884972,1463925.8148683168,1028188.0830766703
2023-09-22,1421764.9840174536,1274006.4316969933,1448642.9535554505,1024971.6164651497
2023-09-25,1433577.060448728,1285955.9574843468,1457365.2549775697,1026270.4630521291
2023-09-26,1404714.487755857,1259151.0244628014,1438788.574176178,1014561.2750151452
2023-09-27,1407094.4245844702,1247822.2978697838,1428949.2971070863,1012490.7593631478
2023-09-28,1417528.8758326392,1260681.364184481,1440694.8241304017,1015993.5663594726
2023-09-29,1407470.8135767798,1271853.3700896325,1444642.781207428,1011200.0467763955
2023-10-02,1411178.2839849486,1287597.498675448,1455592.2873262025,1008962.3715255294
2023-10-03,1390383.2362077269,1265246.228007418,1435833.6524385072,995956.3409306075
2023-10-04,1402029.1803233733,1301386.2740965905,1463070.2386659242,999794.1744290374
2023-10-05,1404685.551962877,1302589.02662192,1463467.9711183168,999492.9806525143
2023-10-06,1426391.5080175644,1316070.4410201134,1488201.9038728334,1008184.5724893259
2023-10-09,1427605.9490345016,1319248.0449172081,1497425.9088624574,1014131.8233799695
2023-10-10,1434865.384279226,1327137.8765822472,1515178.612521515,1018195.4048557151
2023-10-11,1446297.22697442,1334998.648661715,1528468.3945344544,1020174.206708051
2023-10-12,1447212.0525682122,1330860.059031588,1510701.242801056,1014931.313083445
2023-10-13,1449271.3527538925,1304636.989222628,1473421.0395539857,1016112.7471454078
2023-10-16,1455708.2241888482,1314260.806750399,1489042.8892701722,1025596.2841057746
2023-10-17,1448157.0160190025,1307051.8285857262,1494146.3875154115,1025991.9030153682
2023-10-18,1427952.774046087,1272751.510317904,1461546.5834687806,1015955.489807685
2023-10-19,1424640.1000059561,1228388.7895079674,1414861.3026155091,1008383.5607847354
2023-10-20,1398988.4281763434,1198957.082392794,1388189.7095674134,999725.6837894445
2023-10-23,1392431.198537538,1203259.7839613976,1398514.4285157777,993965.5149040229
2023-10-24,1399497.225389219,1216810.3165007653,1404699.811892853,1000151.1273665373
2023-10-25,1372201.761409803,1189447.6732359948,1366590.467700348,996968.8471327826
2023-10-26,1362493.910743238,1158488.7022048058,1334828.6648439027,989375.1095584994
2023-10-27,1358338.1194771095,1177434.5656767907,1351685.2257722474,978308.3896553906
2023-10-30,1384433.703025888,1172893.8064299645,1354141.7618440248,993740.7099991972
2023-10-31,1395181.923887651,1181286.4613448204,1365508.5422395326,997480.1103064738
2023-11-01,1410161.3381665854,1208323.8022185387,1395806.9057954408,1004170.8559714936
2023-11-02,1432520.6586641746,1247619.6414443078,1425460.8640626527,1021206.5174325182
2023-11-03,1441421.89922389,1249891.5175658287,1438714.748660431,1027913.4132139309
2023-11-06,1454560.5119750418,1259467.223887545,1438615.3854707337,1028955.7440836052
2023-11-07,1466137.4448438277,1277971.8844634118,1449736.4715913392,1030668.12795749
2023-11-08,1470142.6231744704,1281182.4545012538,1453008.5676454164,1029450.975024965
2023-11-09,1463115.7973972335,1254566.2469283163,1445714.4636262513,1022801.8424335703
2023-11-10,1489587.8266014152,1283211.7583952965,1472560.6875642396,1034606.398676115
2023-11-13,1480921.3778748985,1294309.4527083458,1497266.0883058168,1036259.2510990625
2023-11-14,1508415.8974205565,1334984.0390807213,1538530.7846559144,1051041.4408450117
2023-11-15,1509588.9204887175,1342823.2475615563,1547907.1172364808,1055975.9497653577
2023-11-16,1520815.0719882064,1330853.53859244,1536474.9360536195,1054595.5274079852
2023-11-17,1534611.6271463486,1335094.4793425621,1540283.4274171449,1054650.2256124106
2023-11-20,1542563.538589418,1346055.06492911,1566825.6215547181,1060799.2940159338
2023-11-21,1533581.816592157,1350462.3902541222,1569597.1597322084,1058905.604455829
2023-11-22,1544023.7486178032,1341892.1782408776,1569950.5141175843,1064480.813249131
2023-11-24,1543130.4578488974,1338908.5606337609,1566621.0545533753,1068015.2131738737
2023-11-27,1543538.3748352446,1341452.4772063317,1559802.0446961976,1066304.7154449695
2023-11-28,1544576.7808799911,1362569.7116499962,1583504.5240815736,1068824.9587906792
2023-11-29,1545430.4301261192,1353513.1729842247,1570957.659762726,1069230.59784548
2023-11-30,1555506.9136987852,1345776.9953566613,1568490.6889375306,1084937.470167965
2023-12-01,1564255.4446580864,1348790.3914595665,1567911.9382814027,1093828.2860683084
2023-12-04,1562009.2846660858,1332075.518748385,1553948.677188263,1092589.2067003886
2023-12-05,1573569.1586242653,1355226.6281691613,1558891.5364411927,1090178.4776475905
2023-12-06,1556330.4914560753,1348342.7526732506,1561917.934207306,1088062.1050957625
2023-12-07,1568320.3769393517,1365540.302302462,1584995.0855744935,1089961.806742992
2023-12-08,1581657.3072407204,1374373.3140975062,1609404.2866090394,1093899.8416934942
2023-12-11,1576867.4606525856,1355061.5610304894,1592440.1686433412,1098639.606144636
2023-12-12,1591398.6312916237,1358220.6740599694,1602963.5759309388,1103860.80910197
2023-12-13,1603113.2934925514,1375586.6796675744,1617383.3820680238,1119321.0679682952
2023-12-14,1615924.7812397438,1396813.4232283654,1641937.956988678,1124092.661115978
2023-12-15,1628746.5431263405,1404026.6272612633,1658029.2190431214,1125807.049018904
2023-12-18,1642546.7598011452,1402880.1371718468,1661773.476306305,1125832.9835123816
2023-12-19,1655831.5782368141,1415302.3322783532,1685374.8790010072,1133434.972970953
2023-12-20,1637501.815373655,1384995.5056868612,1657345.9742921449,1119072.4504830947
2023-12-21,1647119.762776609,1402096.9793273034,1678902.8425782777,1128800.4789865178
2023-12-22,1643754.6291096169,1394062.7219573082,1669776.5810731507,1128245.716594221
2023-12-26,1648385.203252073,1400577.0113936486,1680455.3018830873,1133054.9147574457
2023-12-27,1653988.457618196,1410235.9678984703,1690534.2166780091,1136410.484561255
2023-12-28,1659787.8602709365,1395945.5189772667,1677051.4645722962,1138027.5002295792
